term,chinese
grand secretary,内阁大学士
senior grand secretary,首辅
grand secretariat,内阁
minister of personnel,吏部尚书
minister of revenue,户部尚书
minister of rites,礼部尚书
minister of war,兵部尚书
minister of justice,刑部尚书
minister of works,工部尚书
ministry of personnel,吏部
ministry of revenue,户部
ministry of rites,礼部
ministry of war,兵部
ministry of justice,刑部
ministry of works,工部
vice minister,侍郎
left vice minister,左侍郎
right vice minister,右侍郎
minister,尚书
censor-in-chief,都御史
left censor-in-chief,左都御史
right censor-in-chief,右都御史
vice censor-in-chief,副都御史
assistant censor-in-chief,佥都御史
investigating censor,监察御史
censorate,都察院
grand coordinator,巡抚
supreme commander,总督
regional inspector,巡按御史
surveillance commissioner,按察使
administration commissioner,布政使
prefect,知府
subprefect,知州
magistrate,知县
circuit intendant,道台
hanlin academy,翰林院
hanlin compiler,翰林院编修
hanlin bachelor,庶吉士
grand preceptor,太师
grand tutor,太傅
grand guardian,太保
grand court of revision,大理寺
court of judicial review,大理寺
messenger office,行人司
seal office,尚宝司
embroidered uniform guard,锦衣卫
directorate of ceremonial,司礼监
eastern depot,东厂
western depot,西厂
imperial household department,内务府
grand council,军机处
metropolitan graduate,进士
presented scholar,进士
provincial graduate,举人
government student,生员
licentiate,秀才
tribute student,贡生
imperial college,国子监
chief examiner,主考官
eight-legged essay,八股文
civil service examination,科举
prince,亲王
commandery prince,郡王
duke,公爵
marquis,侯爵
earl,伯爵
viscount,子爵
baron,男爵
chief eunuch,掌印太监
directorate of palace attendants,内官监
imperial edict,圣旨
memorial to the throne,奏疏
principal wife,正妻
matchmaker,媒婆
betrothal gifts,聘礼
courtesy name,字
style name,号
taboo name,讳
posthumous name,谥号
era name,年号
imperial examination hall,贡院
silver tael,银两
string of cash,一贯钱
salt merchant,盐商
yamen runner,衙役
cangue,枷
household registration,户籍
corvee labor,徭役
grand chancellor,宰相
left chancellor,左丞相
right chancellor,右丞相
regional commander,总兵
garrison commander,守备
battalion commander,千户
company commander,百户
grand marshal,大元帅
imperial bodyguard,御前侍卫
inner court,内廷
outer court,外朝
harem,后宫
empress dowager,太后
crown prince,太子
imperial consort,贵妃
noble consort,贵妃
virtuous consort,贤妃
lady of handsome fairness,昭仪
grand princess,大长公主
princess,公主
consort kin,外戚
regent,摄政王
prince regent,摄政王
grand empress dowager,太皇太后
eunuch director,太监总管
palace maid,宫女
wet nurse,乳母
foster mother,养母
sworn brothers,结义兄弟
sworn sisters,结拜姐妹
adopted son,义子
adopted daughter,义女
family instructor,家塾先生
private tutor,西席
family clan,宗族
clan elder,族长
ancestral hall,祠堂
ancestral tablet,牌位
genealogy record,族谱
filial piety,孝道
mourning period,丁忧
funeral rites,丧礼
geomancer,风水先生
fortune teller,算命先生
almanac,黄历
lunar new year,农历新年
lantern festival,元宵节
mid-autumn festival,中秋节
dragon boat festival,端午节
cold food festival,寒食节
qingming festival,清明节
betrothal contract,婚书
bridal sedan chair,花轿
dowry,嫁妆
bride price,彩礼
concubine,妾
second wife,二房
principal room,正房
side room,偏房
household steward,管家
maidservant,丫鬟
manservant,家仆
wet-nurse's family,乳母家
brothel,青楼
courtesan,名妓
sing-song girl,歌妓
pleasure quarter,风月场
pawnshop,当铺
money lender,放贷人
silk merchant,丝绸商
grain merchant,粮商
tea merchant,茶商
constable,捕快
county jail,县衙监狱
flogging,杖刑
summary execution,斩立决
banishment,充军
exile,发配
official seal,官印
official robe,官服
rank badge,补子
court hat,官帽
ivory tablet,笏板
palanquin,轿子
imperial highway,御道
post station,驿站
courier,驿卒
tribute mission,朝贡使团
vassal state,藩属国
frontier garrison,边镇
great wall garrison,长城边防
grand canal,大运河
examination cell,号舍
examination candidate,考生
provincial examination,乡试
metropolitan examination,会试
palace examination,殿试
